"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","max_text_time","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","weighted_text_image","weighted_alt","total_alt","Version"
"E13","2-3 partially separated.jpg",54589,79.4,"Trial001",6,1873.7,3.4,6,1869.7,3.4,48,37780.4,69.2,63,42057.9,62,1471.5,131.9,5452.3,7,"partial",12575.1,23,0,1,1,23,5,1,0,1,1,5,1,0.0386300278773397,41.3010752688172,64,4
"E13","4 partially separated.jpg",24213.3,93.1,"Trial002",5,768,3.2,6,2153.7,8.9,35,18162.1,75,46,21083.7,45,1335.6,116.1,2873.4,6,"partial",6279.2,3,0,0,2,4,4,3,0,0,0,4,0,0.970031545741325,11.8115141955836,22,4
"E13","5 partially separated.jpg",44565.4,96.3,"Trial003",0,0,0,6,1702.6,3.8,40,40196.8,90.2,46,41899.4,44,952.5,69.5,2660.7,6,"partial",19522.3,2,0,0,2,2,4,1,0,1,1,4,0,0.936729009152407,10.7970553123756,19,4
"E13","6-7 partially separated.jpg",90858.8,84.5,"Trial004",19,3989.4,4.4,7,2687.8,3,106,60929.7,67.1,136,68575.2,127,6971.1,571.4,9303.4,18,"partial",10320.6,49,0,10,2,47,12,2,1,0,0,10,11,1.12035913613201,66.8167920407668,146,4
"E13","8-9 standard.jpg",95897.4,73.1777573740268,"Trial005",4,1803,1.90669987036911,52,20514.9,21.3788615591409,30,32169.3,63.6,94,60479.9,83,3168.5,508.7,9730.2,39,"standard",4792.9,7,20,0,23,9,12,25,17,38,37,12,1,10.4433470507545,90.1588477366255,203,4
"E13","12 standard.jpg",47663.9,96.2418234764675,"Trial006",23,18912.7,39.6836478358911,18,3989.6,8.3513922272016,0,0,0,95,40163.2,93,5841.6,312.2,3719.9,4,"standard",3507,38,8,6,6,40,2,8,6,2,2,2,6,4.58274574865201,84.7283284944007,128,4
"E13","13 standard.jpg",37671.4,87.1,"Trial007",1,350.8,0.9,9,2270.4,6,NA,NA,NA,51,31332.4,46,1069,39,1519.4,6,"standard",6513,11,2,0,3,11,4,3,2,1,1,4,0,2.79053694843169,23.7490696438065,44,4
"E13","14-15 standard.jpg",47169.1,95.3,"Trial008",2,1435.7,3,8,2804.4,5.9,NA,NA,NA,51,43786.4,47,1135.2,87.2,2581.3,6,"standard",7865.7,9,1,0,5,9,7,6,1,0,0,7,0,2.02852795739825,22.6671738303537,47,4
"E30","2-3 partially separated.jpg",169061.4,70.3,"Trial001",17,17494.6,10.3,17,5775.6,3.4,159,90836.7,53.7,194,114273.8,104,3492.4,413.1,9616.7,69,"partial",9652.6,37,5,1,3,38,206,4,5,8,8,206,1,0.619061330262021,318.776706017852,524,4
"E30","4 partially separated.jpg",46928.6,83.5,"Trial002",9,1375.6,2.9,20,4323.5,9.2,63,29835.4,63.6,92,35534.5,68,2845.3,158.8,3313.6,22,"partial",5060.1,12,1,1,5,13,48,7,0,1,1,48,1,2.28611240130051,60.2354853692522,140,4
"E30","5 partially separated.jpg",66229.7,64.2,"Trial003",2,266,0.4,11,3008.3,4.5,73,35989.4,54.3,86,39263.8,52,1752.9,315,4542.3,40,"partial",4609.2,6,1,0,5,5,80,5,1,4,4,80,0,2.75209030100334,68.4661371237458,193,4
